9087264.913;11215662.41;11647390.47
9327497.874;11918123.47;11453037.96
9134819.496;11930701.68;11667992.09
8852479.698;11909572.1;11882848.44
9430000.631;11848832.68;11541169.92
8811993.008;11822568.38;11591990.47
9242347.836;12304404.34;10741593.5
8640482.251;11934768.75;11391726.93
8553894.231;11759211.76;10994872.21
9276746.887;12103172.19;10909258.55
9607177.066;12343285.53;11284067.39
9432097.092;10996433.8;11305425.13
9190331.165;11998846.16;11241649.7
8512185.782;11627456.54;11527317.89
9318495.033;12051141.63;11292130.85
9287014.743;11246091.35;11348169.58
9334792.741;12210826.42;11431958.34
9053058.537;11946150.79;11485660.51
9160800.573;12152239.87;11502759.43
8892607.677;11574603.55;11153948.03
9759903.022;12453333.43;11039666.81
8824484.815;11886384.99;11323041.65
9550654.311;11752778.39;11396810.23
8452613.029;12150105.69;10968179.62
8586503.009;11796288.16;11233880.38
8489047.083;12144815.62;11434395.28
9246625.202;11585622.52;10826603.14
8613706.317;12020854.09;11322046.43
8175765.191;11372565.67;11100867.31
9728778.414;12377980.63;11525034.69
8960956.861;11609086.81;11885569.59
9432373.266;11834883.52;11185951.45
7934647.663;11931604.35;11264514.07
8812778.405;11686575;11034474.58
9691919.327;12066448.26;11300606.51
9262879.614;12275231.74;11565927.6
9389416.336;12047037.36;10995075.92
9399752.837;12078121.33;11212537.25
8919010.63;11983470.17;12041139.85
8743027.802;11814585.65;11555993.6
9445734.383;12336836.24;11129450.13
8966647.219;11005412.9;11635565.75
10173498.18;11538249.25;10693280.92
8272885.276;11628262.7;11376184.04
9368082.986;11809680.48;11137218.61
8597701.491;12587014.81;11742138.6
8823179.35;12555902.59;11530682.97
8827837.441;12021612.24;11315669.64
9194944.864;11868401.86;11716378.48
9545410.552;10879969.27;10892330.65
9200155.244;11537053.53;11550986.89
8544679.118;12322186.19;11287417.73
9197261.183;11879123.81;11236183.12
9669929.155;11901842.95;10760446.68
9546068.091;12164437.09;11068317.82
9136113.388;11572470.33;11466447.48
9698326.928;12328152.57;11147331.71
8817641.86;12025898.23;11659678.63
9263442.278;11862080.61;11222630.52
8280578.158;11891042.6;11272775.92
9561482.723;11720625.03;11830341.34
9402486.082;11423065.91;10952131.06
8215133.052;11670996.35;11591050.81
8712524.491;12211757.5;11442213.36
8551853.85;11977171.95;11307257.87
10233226.31;12116248.25;11624396.68
9074664.044;11639634.8;11307530.29
9587479.155;12332741.47;11871710.71
8996452.813;12664395.65;11082480.1
9047243.425;12362045.78;11196109.01
9191834.585;12105151.9;11277770.72
8847171.953;12202606.31;11224618.41
9117244.888;12169657.74;11253589.57
9042067.076;11826067.19;11939129.74
9714151.69;11532631.03;11096144.52
8760548.41;12434148.29;11246571.59
8842267.987;11831479.72;11514767.2
8766549.64;11977443.68;11380847.29
9079816.659;12203629.55;11559326.8
9175942.969;12367227.29;10991678.4
9087427.502;12094848.83;11147704.58
9351907.98;12217434.37;10964290.14
8776099.849;11455878.56;11751151.52
9864927.74;11968223.86;11391668.71
8803878.357;12156118.1;11422894.85
8896182.724;11738376.15;11432603.25
9025225.757;12197923.16;11403689.71
8914911.665;11265204.11;11148429.17
8959816.399;11877141.23;11175769.16
8589658.72;12169904.45;11508119.06
8747574.407;11556732.95;11647551.46
9417204.649;11505654.24;11481544.36
8840313.034;11699914.72;11483748.86
8721990.485;12267438.71;11189441.09
9833150.882;12146563.82;11131203.24
