1,11562770.279923288
2,11112393.893913796
3,11603824.208525293
4,10986362.977747932
5,11654746.87917572
6,10830692.703946635
7,11356433.164512716
8,11877390.676502971
9,10924928.59410045
10,11470616.912829597
11,11086523.158016479
12,11442017.357213214
13,11684581.831527814
14,10721917.325138325
15,11289509.724690448
16,11606239.234530568
17,11612511.903439589
18,11285565.361326842
19,11160995.737960514
20,10778126.814360945
21,11221619.598420007
22,11454890.955767341
23,11142339.597945513
24,11385994.78286518
25,11499868.72541821
26,10891260.387039108
27,11153588.53097704
28,11177284.240623174
29,11117670.949468924
30,11318630.263063407
31,11604003.78932535
32,11032486.473358925
33,11152453.777709564
34,11688121.579211868
35,11410606.288741846
36,11239532.766897608
37,11069205.878245473
38,11640806.680559479
39,11033646.747861117
40,11211184.606963802
41,11683241.422923466
42,11379954.313002497
43,11097642.280859808
44,10820154.789508868
45,11211414.769818194
46,11561676.019752689
47,11168034.976454394
48,11515681.470013525
49,11273957.709312882
50,11004010.86952703
