totalValue,23991994.48063287
Type,x1,x2,y1,y2
Water,109.0,129.0,42.2,114.2
Water,31.2,51.2,54.0,126.0
Water,138.9,158.9,83.9,155.9
Water,74.3,94.3,78.2,150.2
House,76.8,87.8,161.1,171.6
House,37.8,48.3,135.4,146.4
House,15.6,26.6,39.6,50.1
House,73.0,84.0,32.2,42.7
House,60.2,70.7,145.7,156.7
House,18.8,29.3,92.5,103.5
House,9.0,20.0,133.0,143.5
House,127.9,138.9,23.6,34.1
House,58.8,69.3,103.1,114.1
House,128.5,138.5,124.4,131.9
House,67.2,77.2,60.4,67.9
House,18.1,25.6,71.4,81.4
House,6.0,13.5,74.9,84.9
House,130.8,138.3,161.4,171.4
House,137.7,145.2,48.1,58.1
House,74.8,84.8,10.3,17.8
House,114.8,122.3,117.9,127.9
House,107.6,115.1,26.1,36.1
House,119.6,127.1,154.4,164.4
House,33.2,40.7,163.1,173.1
House,52.5,60.0,167.0,177.0
House,47.0,57.0,18.5,26.0
House,63.3,70.8,5.5,15.5
House,94.5,102.0,91.0,101.0
House,10.7,18.7,25.0,33.0
House,147.4,155.4,75.7,83.7
House,53.0,61.0,73.6,81.6
House,52.0,60.0,86.5,94.5
House,105.7,113.7,11.5,19.5
House,56.2,64.2,41.6,49.6
House,4.6,12.6,168.2,176.2
House,63.6,71.6,82.5,90.5
House,130.2,138.2,108.7,116.7
House,102.6,110.6,157.4,165.4
House,99.4,107.4,45.3,53.3
House,12.2,20.2,4.5,12.5
House,81.5,89.5,61.2,69.2
House,146.5,154.5,18.6,26.6
House,96.9,104.9,127.6,135.6
House,136.3,144.3,6.8,14.8
House,125.1,133.1,139.7,147.7
House,130.5,138.5,87.5,95.5
House,4.2,12.2,115.6,123.6
House,18.5,26.5,157.9,165.9
House,5.9,13.9,151.9,159.9
House,34.1,42.1,12.2,20.2
House,14.1,22.1,57.9,65.9
House,93.7,101.7,13.9,21.9
House,3.3,11.3,99.6,107.6
House,140.8,148.8,65.7,73.7
House,148.7,156.7,163.5,171.5
House,48.3,56.3,4.3,12.3
House,3.0,11.0,59.3,67.3
House,36.8,44.8,40.8,48.8
House,24.1,32.1,16.8,24.8
House,57.0,65.0,129.9,137.9
House,54.9,62.9,56.7,64.7
House,22.8,30.8,115.5,123.5
House,103.6,111.6,140.8,148.8
House,64.9,72.9,71.7,79.7
