totalValue,24538764.586041577
Type,x1,x2,y1,y2
Water,43.6,63.6,86.4,158.4
Water,84.3,104.3,103.5,175.5
Water,124.5,144.5,103.7,175.7
Water,12.1,32.1,13.2,85.2
House,104.2,115.2,39.4,49.9
House,122.1,133.1,58.2,68.7
House,70.6,81.1,119.6,130.6
House,57.7,68.7,43.1,53.6
House,32.4,43.4,52.5,63.0
House,84.5,95.5,91.1,101.6
House,111.7,122.7,7.7,18.2
House,90.1,100.6,68.7,79.7
House,66.1,76.6,63.8,74.8
House,25.9,33.4,121.8,131.8
House,75.4,85.4,5.0,12.5
House,133.6,141.1,81.6,91.6
House,121.1,128.6,89.8,99.8
House,78.0,88.0,41.4,48.9
House,75.5,85.5,18.0,25.5
House,68.3,78.3,147.2,154.7
House,31.2,41.2,107.0,114.5
House,105.0,115.0,91.9,99.4
House,38.3,48.3,77.5,85.0
House,6.9,16.9,108.6,116.1
House,134.9,142.4,33.4,43.4
House,8.9,18.9,122.9,130.4
House,3.2,10.7,43.7,53.7
House,40.8,50.8,17.7,25.2
House,134.6,142.6,5.7,13.7
House,106.0,114.0,113.7,121.7
House,113.6,121.6,75.8,83.8
House,64.6,72.6,91.8,99.8
House,147.5,155.5,90.8,98.8
House,149.4,157.4,26.8,34.8
House,115.5,123.5,25.2,33.2
House,111.9,119.9,157.9,165.9
House,150.0,158.0,138.6,146.6
House,2.1,10.1,168.6,176.6
House,92.9,100.9,15.3,23.3
House,16.9,24.9,137.3,145.3
House,34.1,42.1,169.1,177.1
House,146.4,154.4,153.5,161.5
House,56.1,64.1,13.1,21.1
House,54.3,62.3,27.9,35.9
House,43.7,51.7,158.6,166.6
House,147.7,155.7,106.2,114.2
House,3.2,11.2,64.6,72.6
House,115.4,123.4,135.2,143.2
House,105.2,113.2,125.6,133.6
House,149.9,157.9,50.8,58.8
House,32.9,40.9,29.4,37.4
House,13.5,21.5,153.4,161.4
House,21.7,29.7,93.8,101.8
House,63.0,71.0,168.0,176.0
House,149.1,157.1,38.4,46.4
House,32.5,40.5,143.8,151.8
House,12.4,20.4,165.4,173.4
House,139.1,147.1,16.7,24.7
House,25.1,33.1,154.8,162.8
House,109.4,117.4,102.5,110.5
House,42.6,50.6,6.6,14.6
House,25.0,33.0,4.0,12.0
House,146.3,154.3,74.7,82.7
House,2.9,10.9,154.0,162.0
