totalValue,17829056.0430374
Type,x1,x2,y1,y2
Water,58.9,78.9,96.7,168.7
Water,116.8,136.8,43.7,115.7
Water,21.2,41.2,104.1,176.1
Water,93.0,113.0,26.4,98.4
House,81.3,91.8,107.5,118.5
House,80.4,90.9,64.6,75.6
House,50.2,61.2,68.0,78.5
House,23.1,33.6,90.1,101.1
House,113.7,124.2,143.9,154.9
House,10.1,20.6,144.4,155.4
House,48.5,56.0,101.3,111.3
House,109.0,116.5,11.6,21.6
House,53.4,63.4,19.9,27.4
House,68.8,76.3,21.8,31.8
House,45.5,55.5,141.1,148.6
House,143.5,151.0,17.9,27.9
House,44.4,54.4,35.8,43.3
House,24.6,34.6,24.1,31.6
House,19.8,27.3,42.4,52.4
House,80.6,88.1,36.4,46.4
House,120.9,128.9,120.2,128.2
House,12.4,20.4,162.2,170.2
House,121.7,129.7,169.3,177.3
House,64.5,72.5,6.0,14.0
House,57.7,65.7,31.5,39.5
House,93.8,101.8,5.2,13.2
House,149.0,157.0,139.6,147.6
House,19.0,27.0,58.3,66.3
House,13.3,21.3,14.3,22.3
House,12.7,20.7,120.3,128.3
House,4.5,12.5,49.8,57.8
House,116.2,124.2,25.6,33.6
House,134.7,142.7,165.5,173.5
House,10.8,18.8,25.9,33.9
House,143.0,151.0,88.6,96.6
House,47.6,55.6,157.1,165.1
House,43.2,51.2,119.5,127.5
House,12.0,20.0,72.7,80.7
House,80.7,88.7,151.9,159.9
House,4.8,12.8,3.6,11.6
House,32.1,40.1,45.5,53.5
House,146.6,154.6,164.0,172.0
House,143.0,151.0,47.4,55.4
House,42.8,50.8,169.1,177.1
