totalValue,24607997.10338725
Type,x1,x2,y1,y2
Water,11.2,31.2,71.0,143.0
Water,110.0,130.0,1.9,73.9
Water,91.6,111.6,86.1,158.1
Water,133.8,153.8,71.8,143.8
House,65.19999999999999,75.69999999999999,71.6,82.6
House,75.7,86.7,112.00000000000001,122.50000000000001
House,37.2,48.2,67.6,78.1
House,77.2,88.2,51.599999999999994,62.099999999999994
House,59.599999999999994,70.1,151.0,162.0
House,120.7,131.2,94.9,105.9
House,6.299999999999999,16.799999999999997,14.899999999999999,25.9
House,26.5,37.0,15.0,26.0
House,18.3,29.3,160.9,171.4
House,79.5,87.0,93.4,103.4
House,78.69999999999999,88.69999999999999,21.1,28.6
House,46.3,56.3,23.9,31.4
House,144.6,154.6,12.1,19.6
House,81.99999999999999,89.49999999999999,7.1,17.1
House,24.9,32.4,35.1,45.1
House,115.0,125.0,142.0,149.5
House,70.30000000000001,80.30000000000001,130.89999999999998,138.39999999999998
House,42.0,49.5,46.1,56.1
House,39.3,46.8,160.39999999999998,170.39999999999998
House,39.9,47.4,109.3,119.3
House,141.1,151.1,39.19999999999999,46.69999999999999
House,35.199999999999996,45.199999999999996,147.20000000000002,154.70000000000002
House,99.49999999999999,106.99999999999999,160.0,170.0
House,121.1,131.1,125.00000000000001,132.5
House,23.5,31.5,55.6,63.6
House,33.699999999999996,41.699999999999996,90.2,98.2
House,70.0,78.0,3.0,11.0
House,100.7,108.7,42.4,50.4
House,117.60000000000001,125.60000000000001,165.4,173.4
House,54.400000000000006,62.400000000000006,119.0,127.0
House,130.59999999999997,138.59999999999997,12.5,20.5
House,125.10000000000001,133.10000000000002,75.4,83.4
House,6.6,14.6,51.1,59.1
House,110.0,118.0,74.3,82.3
House,87.10000000000001,95.10000000000001,74.3,82.3
House,129.0,137.0,155.6,163.6
House,10.100000000000001,18.1,62.9,70.9
House,64.9,72.9,91.6,99.6
House,65.60000000000002,73.60000000000002,18.099999999999998,26.099999999999998
House,116.1,124.1,155.4,163.4
House,82.0,90.0,170.0,178.0
House,139.29999999999998,147.29999999999998,167.29999999999998,175.29999999999998
House,17.2,25.2,143.79999999999998,151.79999999999998
House,59.1,67.1,54.800000000000004,62.800000000000004
House,2.0,10.0,152.2,160.2
House,54.300000000000004,62.300000000000004,106.4,114.4
House,2.6,10.6,128.6,136.6
House,82.4,90.4,152.70000000000002,160.70000000000002
House,101.60000000000001,109.60000000000001,57.699999999999996,65.69999999999999
House,130.70000000000002,138.70000000000002,52.900000000000006,60.900000000000006
House,48.6,56.6,2.6,10.6
House,8.1,16.1,40.9,48.9
House,51.900000000000006,59.900000000000006,89.10000000000001,97.10000000000001
House,101.5,109.5,28.000000000000004,36.0
House,94.69999999999999,102.69999999999999,10.3,18.3
House,72.1,80.1,33.4,41.4
House,41.7,49.7,132.39999999999998,140.39999999999998
House,148.4,156.4,52.900000000000006,60.900000000000006
House,140.5,148.5,154.8,162.8
House,58.8,66.8,4.5,12.5
