totalValue,27128844.567321453
Type,x1,x2,y1,y2
Water,122.1,142.1,77.9,149.9
Water,20.1,40.1,50.5,122.5
Water,92.9,112.9,24.5,96.5
Water,61.6,81.6,10.4,82.4
House,40.3,51.3,112.70000000000002,123.20000000000002
House,45.099999999999994,56.099999999999994,32.0,42.5
House,108.3,119.3,114.7,125.2
House,49.800000000000004,60.800000000000004,85.79999999999998,96.29999999999998
House,43.000000000000014,54.000000000000014,156.49999999999997,166.99999999999997
House,121.99999999999997,132.49999999999997,61.0,72.0
House,46.8,57.8,58.7,69.2
House,77.49999999999999,88.49999999999999,82.49999999999999,92.99999999999999
House,14.9,25.9,126.70000000000002,137.20000000000002
House,83.20000000000002,90.70000000000002,162.2,172.2
House,144.4,151.9,50.0,60.0
House,22.700000000000003,30.200000000000003,12.300000000000002,22.300000000000004
House,114.6,124.6,41.599999999999994,49.099999999999994
House,39.5,49.5,136.2,143.7
House,8.899999999999999,18.9,58.400000000000006,65.9
House,144.5,152.0,68.09999999999998,78.09999999999998
House,38.3,45.8,7.999999999999999,18.0
House,62.2,72.2,131.1,138.6
House,54.00000000000001,61.50000000000001,8.2,18.2
House,110.1,120.1,96.50000000000004,104.00000000000004
House,144.70000000000002,152.20000000000002,111.10000000000001,121.10000000000001
House,85.10000000000001,92.60000000000001,53.8,63.8
House,87.9,97.9,121.40000000000002,128.90000000000003
House,140.40000000000003,150.40000000000003,162.79999999999998,170.29999999999998
House,95.89999999999999,103.89999999999999,16.400000000000002,24.400000000000002
House,82.3,90.3,133.3,141.3
House,146.49999999999997,154.49999999999997,19.4,27.4
House,8.4,16.4,74.6,82.6
House,7.2,15.2,105.1,113.1
House,18.400000000000002,26.400000000000002,150.89999999999995,158.89999999999995
House,123.60000000000001,131.60000000000002,150.0999999999999,158.0999999999999
House,7.0,15.0,89.99999999999999,97.99999999999999
House,18.500000000000004,26.500000000000004,165.8,173.8
House,98.69999999999999,106.69999999999999,3.899999999999999,11.899999999999999
House,110.7,118.7,151.10000000000002,159.10000000000002
House,3.8000000000000003,11.8,151.2,159.2
House,67.3,75.3,165.0,173.0
House,131.2,139.2,25.399999999999995,33.39999999999999
House,111.10000000000002,119.10000000000002,135.39999999999998,143.39999999999998
House,8.9,16.9,34.899999999999984,42.899999999999984
House,84.10000000000001,92.10000000000001,146.3,154.3
House,146.0,154.0,33.4,41.4
House,142.8,150.8,87.89999999999999,95.89999999999999
House,145.29999999999998,153.29999999999998,5.4,13.4
House,97.1,105.1,149.79999999999998,157.79999999999998
House,7.200000000000001,15.200000000000001,20.099999999999994,28.099999999999994
House,89.19999999999999,97.19999999999999,109.3,117.3
House,115.5,123.5,22.900000000000002,30.900000000000002
House,4.0,12.0,163.3,171.3
House,130.7,138.7,10.2,18.2
House,5.900000000000004,13.900000000000004,5.300000000000001,13.3
House,67.99999999999999,75.99999999999999,148.70000000000002,156.70000000000002
House,95.40000000000002,103.40000000000002,134.2,142.2
House,122.30000000000001,130.3,165.09999999999997,173.09999999999997
House,143.5,151.5,128.99999999999997,136.99999999999997
House,116.3,124.3,7.399999999999999,15.399999999999999
House,144.50000000000003,152.50000000000003,145.40000000000003,153.40000000000003
House,67.79999999999998,75.79999999999998,111.60000000000001,119.60000000000001
House,101.60000000000002,109.60000000000002,165.50000000000006,173.50000000000006
House,23.599999999999998,31.599999999999998,39.0,47.0
